Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureTreeSize,measureNumLeaves,measureOutOfBagError,measureAttributesUsed,measureNumIterations
data,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1335.0,149.0,47.0,102.0,0.0,31.543624161073826,68.45637583892618,0.0,0.0,0.1555170779172178,0.27866552059777805,100.0,100.0,372.8790204387401,372.8790204387401,0.0,2.5025437613338264,2.5025437613338264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,1.0,24.0,NaN,0.0,NaN,NaN,0.5,0.1610738255033557,0.31543624161073824,0.31543624161073824,0.6845637583892618,0.6845637583892618,NaN,0.31543624161073824,NaN,NaN,0.5,0.2235484888068105,NaN,0.31543624161073824,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,136514.0,16728.0,95.97315436241611,70.00000000000018,?,?,?,?,?,?,?
data,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1335.0,149.0,47.0,102.0,0.0,31.543624161073826,68.45637583892618,0.0,0.0,0.1555170779172178,0.27866552059777805,100.0,100.0,372.8790204387401,372.8790204387401,0.0,2.5025437613338264,2.5025437613338264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,1.0,24.0,NaN,0.0,NaN,NaN,0.5,0.1610738255033557,0.31543624161073824,0.31543624161073824,0.6845637583892618,0.6845637583892618,NaN,0.31543624161073824,NaN,NaN,0.5,0.2235484888068105,NaN,0.31543624161073824,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,136514.0,16728.0,95.97315436241611,70.00000000000018,?,?,?,?,?,?,?
data,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1335.0,149.0,47.0,102.0,0.0,31.543624161073826,68.45637583892618,0.0,0.0,0.15566577680197646,0.27896529217627264,100.0,100.0,373.69450916836803,373.69450916836803,0.0,2.508016840056161,2.508016840056161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,1.0,25.0,NaN,0.0,NaN,NaN,0.5,0.16778523489932887,0.31543624161073824,0.31543624161073824,0.6845637583892618,0.6845637583892618,NaN,0.31543624161073824,NaN,NaN,0.5,0.22192694022791765,NaN,0.31543624161073824,0.001,0.0,0.0,0.0,0.0,0.0,1119.0,136514.0,16728.0,95.97315436241611,70.00000000000018,?,?,?,?,?,?,?
data,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1335.0,149.0,46.0,103.0,0.0,30.87248322147651,69.12751677852349,0.0,0.0,0.15569172425837705,0.27901773850266803,100.0,100.0,373.79963690219626,373.79963690219626,0.0,2.5087223953167532,2.5087223953167532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,1.0,25.0,NaN,0.0,NaN,NaN,0.5,0.16778523489932887,0.3087248322147651,0.3087248322147651,0.6912751677852349,0.6912751677852349,NaN,0.3087248322147651,NaN,NaN,0.5,0.2215665960992748,NaN,0.3087248322147651,0.0,0.001,0.0,0.0,0.0,0.0,1119.0,136514.0,16728.0,95.97315436241611,70.00000000000018,?,?,?,?,?,?,?
data,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1336.0,148.0,46.0,102.0,0.0,31.08108108108108,68.91891891891892,0.0,0.0,0.15543753262921153,0.2785054457928541,100.0,100.0,366.1994804542969,366.1994804542969,0.0,2.4743208138803845,2.4743208138803845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,1.0,25.0,NaN,0.0,NaN,NaN,0.5,0.16891891891891891,0.3108108108108108,0.3108108108108108,0.6891891891891891,0.6891891891891891,NaN,0.3108108108108108,NaN,NaN,0.5,0.22443389335281222,NaN,0.3108108108108108,0.001,0.0,0.0,0.0,0.0,0.0,1119.0,136615.0,16627.0,96.62162162162163,70.00000000000018,?,?,?,?,?,?,?
data,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1336.0,148.0,46.0,102.0,0.0,31.08108108108108,68.91891891891892,0.0,0.0,0.15543753262921153,0.2785054457928541,100.0,100.0,366.1994804542969,366.1994804542969,0.0,2.4743208138803845,2.4743208138803845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,1.0,25.0,NaN,0.0,NaN,NaN,0.5,0.16891891891891891,0.3108108108108108,0.3108108108108108,0.6891891891891891,0.6891891891891891,NaN,0.3108108108108108,NaN,NaN,0.5,0.22443389335281222,NaN,0.3108108108108108,0.001,0.0,0.0,0.0,0.0,0.0,1119.0,136615.0,16627.0,96.62162162162163,70.00000000000018,?,?,?,?,?,?,?
data,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1336.0,148.0,46.0,102.0,0.0,31.08108108108108,68.91891891891892,0.0,0.0,0.15559314886952313,0.2788191311319489,100.0,100.0,368.4553843890654,368.4553843890654,0.0,2.4895634080342255,2.4895634080342255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,1.0,24.0,NaN,0.0,NaN,NaN,0.5,0.16216216216216217,0.3108108108108108,0.3108108108108108,0.6891891891891891,0.6891891891891891,NaN,0.3108108108108108,NaN,NaN,0.5,0.22269905040175306,NaN,0.3108108108108108,0.0,0.001,0.0,0.0,0.0,0.0,1119.0,136615.0,16627.0,96.62162162162163,70.00000000000018,?,?,?,?,?,?,?
data,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1336.0,148.0,46.0,102.0,0.0,31.08108108108108,68.91891891891892,0.0,0.0,0.15550279105256826,0.278637040642182,100.0,100.0,366.7806358548639,366.7806358548639,0.0,2.478247539559891,2.478247539559891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,1.0,24.0,NaN,0.0,NaN,NaN,0.5,0.16216216216216217,0.3108108108108108,0.3108108108108108,0.6891891891891891,0.6891891891891891,NaN,0.3108108108108108,NaN,NaN,0.5,0.2237034331628926,NaN,0.3108108108108108,0.0,0.001,0.0,0.0,0.0,0.0,1119.0,136615.0,16627.0,96.62162162162163,70.00000000000018,?,?,?,?,?,?,?
data,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1336.0,148.0,46.0,102.0,0.0,31.08108108108108,68.91891891891892,0.0,0.0,0.15550279105256826,0.278637040642182,100.0,100.0,366.7806358548639,366.7806358548639,0.0,2.478247539559891,2.478247539559891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,1.0,24.0,NaN,0.0,NaN,NaN,0.5,0.16216216216216217,0.3108108108108108,0.3108108108108108,0.6891891891891891,0.6891891891891891,NaN,0.3108108108108108,NaN,NaN,0.5,0.2237034331628926,NaN,0.3108108108108108,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,136615.0,16627.0,96.62162162162163,70.00000000000018,?,?,?,?,?,?,?
data,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.02210241512E7,1336.0,148.0,46.0,102.0,0.0,31.08108108108108,68.91891891891892,0.0,0.0,0.155526886470423,0.27868562294330146,100.0,100.0,369.32552540190113,369.32552540190113,0.0,2.495442739202035,2.495442739202035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.0,1.0,24.0,NaN,0.0,NaN,NaN,0.5,0.16216216216216217,0.3108108108108108,0.3108108108108108,0.6891891891891891,0.6891891891891891,NaN,0.3108108108108108,NaN,NaN,0.5,0.22342951059167274,NaN,0.3108108108108108,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,136615.0,16627.0,95.94594594594595,70.00000000000018,?,?,?,?,?,?,?
